59,60,61,62,60,63,64,65,66,61,67,68,67;67,60,63
53960,53961,53962,53963,30128;53960,30128
3017;3017
500,46447,500,46447,500;46447
19897;19897
46492,46496,35423,21238;46496
12036,1054,25915,9734,20889,9754,12777,12766,9754;12766
54036,54037,34567;54037
7931,54037,54039;54037
54051,54052,54051,54053,54052;54051
8378,4270;8378
4721,12709,14763,12709,17045;12709
3875,22513,22451,22512,22451,22512,18929,24783,24785,22451,22512,22451,22513,16722,18929,16724,24783,24785,27116,54198,16725,22451,24785,16725,7611,16725,7611;22451
54231,54232;54232
54247,33540,18833,18839,8380,54248,8977,8383,8977,8383,8380;8380
508,1789,21412,8803,21412;1789
1395,31223,1395,21139,1395,49840,1395,35183,1395,13051,1395,35183,1395,31223,13051,31223,24487,1363,14892,21429,11394,16670,10351,1362,16404,44282,24487,10168,16405,52413,10167,10166,16399,20805,41908,54297,27756,16398,54298,20078,38127,24487;24487
2084,21313,3446,21313;54333,2084,54334,43643,20783,18562,11005
4075,4526,4029,4034,25468,54391,25469,41645,54392,18148,54391,25468,54391,25468,18150,25468;25468
54416,54417;54417
1225,3955,1226,2045,1226,2045,1226,14903,1224,1225,3955,1226,1224,29610,36005,54475,36005,54476,36005,54477;1226
36012,25152,53587;53587
5273,2733,6744,2964,8384,5273,8384,5273,6744,260,2290,258,711,2287,2291,28256,54538,27462,54539,54540,54541,54542;54540,5273,1728
3937,44564,34271,21403,10361,54544,13975,18467,1719,37289,37282,37289,18192,37282,18192,19277,6992,23125,6992,12192,23125,12192,37282,37289,13975,18192,19277,50241,6992,23125,12192;3937,10361,21403
11261,6187,1840,9020,54556,54557,13205,27110,6188,8845,47892,5594,16429,36580,13665,8403,5594,5596,5594,5596,5594,1840,11134,38793,26653,4573,11134,9020,9019,6188,4573,11134,38793,51448,26653,6188,26653,4573,6188,26653,6188,5596,5594,5596,5594;5594,6188
2335,2336,23071;23071
28345,796;28345,796
2738,7888,21050,12913,54706,21050,54706,21050,21370,2529,21370,48806,26129,54707,43837,17273,43836,26129,43836,26129,54707,43836,7888,12913,54707,26129,54706,54707,54708,43425,2009,38236,29709,26186,14035,26186,54709,42255,5829,54710,2614,5828,54711,54712,54713,54707,3112;54707,21050
977,39784,53384,54738,53384,54739,39784,54738;977,54738
6231,36934,54783,14972,25667,25668,54784;34446
54797,54798,54799,54800,54801,52258;54801,54797
18323,4749,6936,10871,1974,13819;18323
5472,5475,5472,3773,13772,3773,12226,13819,54831,12124,20944,23677,47044,12124,23677,12124,54832,10818,4600,5574,4600,5576,17773,9911,40673,5569,2070,14210,970,9011;5472
40329;40329
10665;10665
10849;10849
9274,20641,54903,43548,21081,21082,19510,21081;21081
1270;1270
9549,20807,9549,17962;9549
48898;48898
7993,38542,18698,16711,33672,16711,33672,16711,33672,16711,33672,16711,33672,16711,38542,16711,7491,7485,3073,7485,3073,1687,3073,7485,3073,7485,16711,55070,16711,1382,3074,3073,7485,3074,1382,3073,7485,16711;16711
884;884
55086,5055,2861,5055,2861,39225,55086,1498,55087,55088,55087,55088,32661,21171,31324,21171,11025,16406,24372,11393,5378;55086
29026,5163,29026;29026
21771,55106,55107,55106;55106
13110,55134,13034,55134;13110
1517,9728,31360,55198;36905,1517
7574;7574
3081,6805;3081
55286,12441,20608,6463;55286,6463
55299,55300,55301,49210,55302,55303;55303
26743;26743
4721,4973,26693,4602,14807;4602,14807
21278,8761,51515;21278
29084,3072,29084;29084
10670,6365,5725,6365,55509,6365;6365
11866;11866
55532,4362,42229,4359,4363,55533,42229,4357,4358,55534,42230,39861,42229,4358,42229,4358,4363,4358,52871;4358,1396
9773;9773,8260
54393,41141,15201;15201
38553,44220,19781,38553;38553
7794,22052,36073,7794,36073,22052,36073,3309,22052,9135,4748,7111,4476,2173,2174,4476,4748,7794,7111,2174,36073,4476,22052,36073,2174,36073,2173,22052,7794,36073,7111,2173,4476,22052,7111,2173,22052,7111,4476,2174,7794,36073,7111,22052,4476,2173,2174,9135,7794,22052,7794,2174,7111,2173,4476,7111,4476,7111,36073,9135,2173,36073,22052,7794,2174,4476,2173,7111,36073,9135,7794,22052,4476,7111,9135,36073,4476,2174,4476,36073,4476,7111,2174,7111,2173,7111,7794,2173,7794,4476,22052,4476,22052,4476,2174,22052,7794,9135,4476,36073,7111,2174,2173,7794,22052,4476,7794,7111,9135,7794,2173,4476,36073,7794,36073,7794,36073,2174,7794,2173,4476,2173,7794,4476,36073,2173,7794,2174,36073,2174,7111,2174,7111,22052,2173,22052,7111,7794,2173,36073,4476,2174,7111,22052,9135,7794,36073,4476,36073,4476,2173,9135,36073,2173,7794,7111,4476,2174,4476,2174,22052,9135,2173,36073,7794,7111,2174,4476,22052,7111,4748,22052,7111,2174,2173,4476,36073,4476,36073,7111,22052,2174,2173,36073,4476,2173,1231;4748
12344,55653,40659,12344,55654,40664,55655,55654;12344,40664,55654
55766;55766
14671;14671
39490,55782,2314;55782,39490,2314
10983,4846,10983,10996,21129,10983;10983
11610,30920;11610
293,35393,7915,18883,24961,293;293
20374,55826,24066,17210,24066;24066
26505,1185,55861,1185,2843,16961,759,3546,2843,9249,21493,3785,9249,55862,3785,42829,55862,158,34885,55863,55864,55865;55866,158,20775,2843,55862
55907,21678,5063,6759,630,20250,6759,5063,21678,6759,30390;21678,6759
21973,25032,55925,39908,7549,40769;25032
26210,24413,26210,39035,26211;26211
15041;15041
408,1496,408,1496,24295,3446;1496,24295,408
26490,29281,3288,14503,12626,383,6772,3472,26490,17916,14503,12479,6974,15641,15928,8497,6113,2563,6546,7196,6974,14503,54683;14503
25154,56112,25154;25154
56122,29572,56122,29572,388,56122,39251,56122,388,29572,56122,29572,39251,29572,594,4604,259,2287,259,4631,1198,259,9969,13118,56123,1411,56124,56125,5837,36417,56126,259,46140,56127,56128,56129,56130,56131,56132,56133,56134,56135,56136,56137,56138,56139,56140,56141,56142,56143,56144,56145,56146,56147,29785,35302,26285,594,9603,2290,260,2293,2287,2293,27105,29499,149,21607,17465,259,7983,14009,21528,9317,21957,4644;29572
1994,14956,14957,11589,21361,2336,56172,14960,56173,56174,56175,4483,4501,4483,56173;21361,56175,1994,4483
56190,56191;56191
6998,4857,4856,3324,7228,11976,1814,5733,1814,6129,17709,547,3718,73,204,10891,7003,11976,7001;204,11976,3324,1814
2930;2930,8365
1312,1313,1312,1313;1312
4938,10886,38413,46512,56387,10886;10886
11212;11212
36369,21328,11318,36367,36368,8987;34992
18430,20080;1319
56579,56580,56581,56582,56581,56583,56580,56584,56581,56585,56586,56584,56579,56582;56579,56584
56602,39699;56602
37128,37133,37132,37128,37133,37128,37133,3361,3369,8143,56616,8143,56617,31552,31553,31552,56617,8143,56618,36618,56619,56620,40109,56620,56619,56620,56619,31774,56619,31774,40109,31774,40109,31774,40109,3369;8143,31553,31774
20872;20872
4903,1542,1543,18263;18263,1543
1933,24295,4058,24295,1933,3444,1933,3444;24295,3444,12278
45833;45833
5040,3823,7993,3823,7993,6110,18836,18835,8782,22341,7993,43607;6110,7993
56768,56769,56770,29665,56770,29665,56770,29665,5202,6882,56771,29665,56772,29665,56772,56773,56772;56772
10214,11387;10214
56829;56829
1185,553,1185;1185
46116,40454,7834,43196,2106,7834,14568,7834,46116,7834,8131,46116,8131,46116;46116
7184,3483,55907,31636,55907,31636,55907,31636;31636,55907
20409;20409
54978,54982,4437,56945,56946,54978,56947,54978,56947,54978,56948,56949,56947,56950,56951,56952;54978
56953,54982,54978,56953;56953
56968,56969,56970;56970
2157,2165,25757,8999,2157,25757,2157,25757,2157,25757,17691;2157
5215,33554,24223;24223
49168,57025,13256;49168
35168,21632;21632
360,33118;33118
1315,1319,847,1314,18430,1314,15217,26243,483,9991,18431,15232,47502,3730,1318,15922,35925,57030,41212,57030,1314;57030
57147,57148,57149,57148;57148,57149
57212,37625,57212,2216,37625,2216,46706,57212,46706,2216,31007,2216,25702,20303,25702,36163,57213,36163,31007;31007
13541,3150,13541;13541
137,2947,875;875
22254;22254
17777,10949,57252,20865,17778,51552,1495,4889,50133,8456,4889,42297;1495,17778,4889
15827,17027,10682,469,1277,1844,15831,1233,6049,126,1844,126,17027,23491,15053,15052,57260,57261,55758,14015,40899,35960;17027
48543;48543
10632,19673,12812,3502;3502
37054,24522,23459,57401;23459
57416,38450,11091,57417,57418;57417
511,43869,511,6070,8773,11491,8773,9572,8773,9572,8773,9572,8773;8773
262,136,172,7306,192,21030,7187,8031,192,57458,18706;192
16194;16194
3588,15096,3691,3848,47849,57568,57569,3689,57569,54930,19798,54922,57570,57571,57572,57573,57572,44149,57572,8594,57572,54492,57572,8594,57574,54492,57572,57574;44149,54492,8594
57596,22459;22459
57637,9573,57637,15805;15805
10144,4670,10144;10144
16646,49852,57647,57648,49852,57649,57650,57651,57647,5744,49852,57648,57652,40490,40797,40786,16653,16646,16653,49852,57648,57652;57652
9784,5894,9784,13641,202,13641,15269,13641,202,13641,202,13641,202,12662,202,13641,13640,13641;9784,5894
57741,25449;25449
28712,25369,25368,42767,25369,57745,28712,56805,2244,57746,56805;56805
7686,3711,7686;7686
26093,4648,4814,51504,51503,57756,51504,51503,51504,51503,4814;4814,51503
6324,46187,6324,46187,6324;6324
241,17518,17516,48443,17516,57768,57769,57768,57770,57769,57768,241;57768,17516,241
1030,8265,28,204,73,609,2635,3509,918,38391,11779,54859,12791,40953,609;609,40953,1030,54859
24647,18882,22276,57087,24647,18882,24647,57780,53690;24647
23454;23454
57810,57811,42837,44261,39659,44261,57810,33465,55252,57812,55252,36903,57813,57814,39659,57815;39659,57810,44261
42269,57834,42269,9979,57835;42269
44085,38450,9255,25194,5437,54894,10595,25191;10595
977;977
13801,57897,13801;13801
57947,57948,42488,57947,1334;57947,42488
3666,1157,3675,1157,29826,1157,29829,20434,29826,3675,20434,3675,1157,3675,20434,3675;20434,1157
7931;7931
3151,43426,3151;35435,3151
8591,21192,8459,6688;6688
53055;53055
58116;58116
58132,58133,31563,37891,58134,33531,15446,1191,42266,12538,12509,12538,53649,47106,2931,12539,12542,12543,12536,58135,41543;58134
58153,58154;13132,58154
58181;58181
251;251
1414,2057,1414,2057,1414;58215,2057
58226;58226
36085;36085
44106,29853,44106;10921,15300,44106
2044,1225,2044,3232,29610,1225,1226;1225
35171,1097,35171;35171
21158,20990,21158,20990,21158;21158
5619,5621,5620,5619,58300,5471,5621,5471,58300,58301,58300,5619,58300,5619,58300,5471,58301;58301,5471,5619
18055,13675,19377,13671,42644,19377;19377
28765,41604,28765,18191,50666,41604,19279,1948,41604,58308,19279,22765,26525,58308,58309,58310,19279,2845,10903,2845,6350,2084,19279,3907,9012,3907,9012,3907,9012,3907;41604
19155;19155
33873,30981,42355,42499,43340,58361,483,58361,49989,483,49989,3409,43340,58362,33873,6825,36563,19437,20079,2178,58363,58364,32037,35760,58365,32019,32020,32019,32020,32019,32020,32019;43340,33873
16991,58419,55722;16991,55722
37996,5422,3896,58435;3896
22650;22650
6655;6655
54102,58469,4832,5924,3324,33523,15951,15952,18018,10818,14291,737,11420,18022,7297,8853,24302,11420,731,14487,14291,11420;11420
8162,2395,9293,2395;8162
4497,58485,58486,58485,58486,53173,58487,58486;58486
15906,48456,15906,48456,15906,48456,15906,48456,15906,48456,15906;48456,15906
32572,2259,14272,58506,58507,58508,2259,5218,2259;2259
58516,17621,58517;58516
16932,58533,58534,58535,58534,58533,16932,58536,58537,16932,58538,16931,58538,16932,58534,58535,16932,58533,58534,58533,58534,16932;16932
58545,53114,58545,41524,58545,53114,58545,41524,44596,58602,4723,39325,58603,4724,39325,58539,39325,58539,39325,58604,58605,33946,58541,58606,58607,58545,58551,47528,58608,58609,39325,58539,58540,58541,58606,4723,39325,58539,58606,4723,39325,58610,4723,58607,4723,58541,39325;53114,58545,39325
44967;44967
58669,58670,20009,58667,58671,58672,39782,58673,34701,58674,58675,58676,58677,58678,58679,58680,58681,58682,58683,58684,58685,58686,50476,39782,58680,58687,58688,3825,112,3825;58689,58690,58691,58692,58677
58742;58742
8380;8380
6397,1155,9257,1342,1141,13881,1141,13881,1141;1141
5873,58791,58792,47322,5873;5873
4844,4841,4844,32003;4844
58920,12752,20827;20827
2806,58937,26966,58938,18330,50307,18328,58939,26966;26966
9396,5166,53754,58964,5166,13541,5166,58965,5166,9396,58964,58966,58967,58968,9396,26208,11223,9396,4090;53754,58969,58965,17188,5166,4090
9255;9255
59012;59012
1711,15301,1711,19812,59061,1711,59062,59063,10355,59063,59062,59061,19812;19812,59063,59062,59061
26882,6916,12370,6916,13921,12370,26882,12370,22308,26882,22308;22308
15754,16726;15754
20781;20781
17296,17294,17296;17296
59213,16777,59214,59215,59213,16777,18551;16777
4373,7129,15344,41236,59413,59414;31908,15344
6021,42788,6021;6021
27617,16479,53784,59483,59484,59485,59486;16479,27617
5160,242,17916;5160
59534,30804,59534,30804,59534,30804,59535,30804;30804
59550;59550
20287;20287
1628,25490,25489,59646;9872,1628
5716,29259,5716,59680,5716,59680,29259,5716,29259;29259
31636,1612,21378,38735,31636,4084,1996,4084,59694,31636,21120,4852,21120,4851,21120,22439;31636
49549;49549
59748,7379,59748;59748
46725,1339;46725
50519,30503,1369,1370,50519,39523,50519,39523,50519,39523,50519;39523
59840,59841,59840,26966,59842,23784,59840;59840
29641,29657,29642,29641,29642;29641
26360,59863,59864,23173,59865,59866,17587,17585,59867,46063,23173;23173,59865
34262,53316,34262,21595,44681,21595,44681,53060,44681,51539,44681;44681
59870;59870
5735,360,6630,5735,360,7202,6630,360,6630;6630
182,50547,34725,21608,59913,59914,59915,21608,183,182,8780,182,343,183,184;21608
8991,59941,8991;8991
43943,44173,33847,24426,46561,24426,44173,5924,14161,3324,15835,5575,5924,15835,14161,21530,814,4888,814;4888,814,14161,44173
9587,25292,831,3327,6382,37113;9587
52612,21858,14065,21858,14066,1725,1307,10868;52612
11043;11043
14341,11614,14341,13030,14341,2061,11914,8642,2061,8642,41823,60000,60001,41823,14119,14341,60002;14341
26828,4526,644,17645;26828
11202;11202
9999;9999
25000,31085;25000
11532,19136,11532,2057,11532;11532
11610;11610
42832,898,909,6952,909,2251,909,901,899,17871,42832;17871
6581,6578,60327,24638,30918;6581
2733,2964;2964
4888,51051,4888,40595,19162,36091,4888,19162,40595,4888,19162,6805;6805
259,258,711,255,7024,596,9604,30891,260,25771,9602,9605,6043,9611,9602;9602
20984,24295,60443,60444,60445,13956,16519,60133,60446,52407,60447;24295,60445
255,115,2290,6476,4743,255,6476,2290,2631,4743,712,42055,29557,36289,712,7289,32528,712,7289,2290,60466,30075,7024,55466,7289,4743,712;712
37127;37127
45325,33204,60503;33204
22216,22058,22200,22058,29531,31709,22206,31709,22216,22200,4343,7686,3717,3706,3717,1028,3712,54302,3717,7686,1028,59018,60509,54302,3712,7686,3712,3717,35042,3717,1028,3717,54302,3717,3712,39919,59018,1029,59018,3706,59018,10020,59018,3717,20026,57378,22056,22925,9221,3600,4338;9221,2180,4343,3717
15040,15041;15041
11417,28497,16107,25572,59747,28497,60540;60540
11434,28345,73,11434,73,3437,11434,11138;73,11434
60568;60568
60578,49790,60579,43438;43438
11688;11688
905;905
54228,5911,58791,60603,54228;54228
258,758,258;758,258
3610,9136,6988,11462,6988,3610,6988,16939,3610,6988,3610,3568,18320,3568,3610;3610
38206,21926,13188,11090;52379
1081,513,3488,1075,3544,16440,21721,3488,473,374,473,1345,1280,473,16;3488
7594,7608,1749,60750,16421,60751,39706;39706
43869,21033,60801,21033,21268,17362;21033
18536,12779,18536,18538,10868,12779,18536,12779;12779
24361,16835,24361;24361
19629;19629
2738,11027,34268,5844,6322,2654,4266,4600,4266,9734,9911,9734,5844,21285,11133,21285,11133;11027,2654
25754,40252,25755;25755,25754
4436,4628,4630,3563,42338,4628,4436,42338;4628,4436,42338
8582,14768,8582,14768,8582,14768,8582;8582
8256;8256
61017,61018;61018
61021,61022,1795,19756,1283,6827,28039,36583,20698,36583,10619,61023,48133,34987,48133,32084,16695,33603,16695,33603,11851,61023,60213;36583,6827
19406,19405;19406
1277,1278,1184,162,1278,162,1184;1184
2556,2554;2556
13185,162,13185;13185,14457,162
11483;11483
61142,10768,2656,61143,61144,61145,61146,61147,30218,10258,51977,12724,15651,12807,46957,13540,2941,1294,21310;10768
21014,9902;21014
61175,61176,519;61175,61176
16655,33329,45963,16655,33329,16655,4969,18567,4969,1323,31518,18560,40075,12835;16655
2187,20800,2187,2639,20800,61249,34864,36128,2639,36128,20800;20800
5472,29426,14183,1979;14183
2294,1085,5922,11268,2294,5922,2294,5922;5922
37996,24565,8525;24565
61278,61279;61279
44010,61294,4993,44576;44010
13085,50051,48357,50051,1382,46589,24361,61342,61343,26850,24361,7490,1382,3073,1382,34214;50051
31461,61364,13730,12247,13730,12247,13730,12247;12247
207,6020,44179,5415,28737,6020,44179,6020;6020
11960,61384,3427,11960,61399,61400,5243,2382,11960,61401,61402,50057,61403;61384,61390
61405,61403,2382,14602,33780,14295,12611,5501,12611,2308,7051;61403,10771,5501,61381
61410,59632,61410,61409,57799,16835,24360,52265,28329,61411,61412,43254,61413,31342,61414,13936,57799,57520,52264,56822,42760,31342,42760,36706,3327;57799,61415,40823,59632,5246,24360,49183,52264,61410,61381,61413,61416,61417,31342,61414
36630;36630
28365;28365
1306,29849;1306
1835,21510,61441,21510;21510
19143;19143
6365,5095,61467,35712;6365
1181,158,61474;158,1181
9668,28385,9280,53336,9280,48086,61501,28385,9668,72,1184,1844,126,166,1845,1345,10451,1843,6107,1346,196,14845,1845,10451,1345,166,14845,1346,1843,1845,196,1346,14845,1346,85,1214,263,9668,470,9668,1346,1843,1346,28385;1346,28385
2752;2752
27334,45733,27334,21260;27334
34573,34571,34573,34574,34573,34572,34570,30728,34572,34573;34573
12804,5202,331,9379,331,6689,15278,18123;18123
10801,45329,10801;10801
10804,644;10804
34758,61610,51664,59394,61611,61610,59394,54410,61612,54411,58482,5159,54411,5159,58482,61612,54411,54410,54411,61610,54411;54411
61654,5843,32655;61654,5843
864,19422,864,19422,864,4620,864,4620,864,28114,4620,16017,863,4089,863,16017,863,28114,862,4620,864,4620,864,862,872,14349,4089,16014,864,4620,864,4620,864;6606,14523,39763,863,4089,29305
45604,29906,39507,29908,25211,29907,45604,29906,39507,29908,25211,29908,39507,29906,45604,29906,45604,25211,45604,34710,21519,34710,21519,61731;21519,25211
61734,49314,49344,61735,61736,3488;61734
55719,7615,7616,7615,7616;7616,55719
11976,7228;11976
170,1869;1869
18764,28042,2629,35013,37266,51013,24902,25525,23474,18763,6107,1144,2629,35013,3412,37266,23474,16123,15046,18764,12058,38872,469,23474,18764,23474,18763,6107,12058,43315,7849,9863,6107,9863;12058,9863
57533;57533
23942,5965,9379,11454,9379;9379
1838,26769,1838;26769
30293,30976,12467,28148,12467,30977,12467,30976,52371,30976,19098,48277,19098,62015,62016,44208,62017,62018,62019,62020,62016,36365,62021,9689,14341,19569,14341;62015,30976,62016,14341
2484,4526,14295,17645,20831,12611,4530,43320,13239,4525,9577,17388,2380,17388,4525,12783,17063,18964,9577,4525,1178,10686,62035,42725,55870,23003,62036,10686,21509,2380,44898;10686
23072,62042,4063,3612,3608,3612,46985,3608,3614,46985,3614,3608,46985,1535,7190,1535,7190,1535,23072,7190,23072,46160,29847,46160,3613,5742,46985,604,3608;23072
10091,759,3959,758,3498,758,3498,758,759;758,3498
20705,21226,47918,21226;21226
11420,39838;11420
14062;14062
1842;1842
62186,62189,62188,18109,62189,62190,21303,62186,62187,62189,62188,62191,62188,62191,62192,23352,62193,49088,5854;62191
41638,62215,62216,41637,62216,62217;41637
1837,62257;62257
2371,11874,2371,4305,11177;2371
45642;45642
18554,18555,18554;18554
1012,9727;1012
62317;62317
16840,36292,16840,36292,16840,36292,16840,30781,30782,30781,16899,30782,16899,30782,30781,30782,16899,30782,16899,30781,30782,30781,3819,30781;30781
62337,52003,19511,3536,35790,3537,3536,4110,3536,3535,3536,35790,21526,35790,3536,4110,16231,23381;19511
62338,62339,62340,46493,62341,62342,62341,46500,62341,46502;62338
62343;62343
4416,15661,25902;4416
62364,31609,14559,25051,18529,44225,18712,49610,35050,62365,37687,18712,8630,10038,14651,55128,62366,62367,55128,62368,19840,62369,44226,31609,18712,30154,62370,62371,32490,62372,60026,55902,60026,39432,62373,62374,62375,51785,62376,48140,48141,62377,62378;31609
56340;56340
55776,20535,62418;62418
12990,62435,12990,62435,12990,55441,62435,55441,54018,12990,62436,19394,55440,55441;55441,12990
21357,62452,21326,62453,32486,62454,54106;21326
19658;19658
49677,62482,49677,45885,62483,45885,62483,62484,7345,62485,22174,22062,62486,60377,26134,62487,62488,62489,62490,32642,62491,62492,62493,62494,62495,62496,58806,62497,62498,60378,62499,62500,62501,62502,62503,62504,62505,62506,32643,62507,62508,62509,62510,62511,62512,62513,62514,62515,62516,62517,62518,62519,62520,62521,49677,62483,32643,62485,22062,62486,26134,62488,32642,62493,62495,62496,62506,32643,62486,32643,62506;49677
60982;60982
1079,3545,510,5394,62592,5651,20946,5394,5651,5394,62592,5394,1753,2099;5651
62604,62605,62606,62604,22372,62605,35233;35233
62610,62611;62610
513,19644,35834,1079,12376,21169,1079;1079
62639,62640,62641,62642,47144,62643;62639
13671,4282,4283,4282,13671,14274,12626,13671;13671
7167,17241,7132;17241
4970;4970
1416,23268,4078,708,3472,23563,10219,26490,4078,16121,11023,26103,15630,53856,62753,16118,1416,4078,23267,26806,17086,4078,15630,29476,8253,47055,6625,15632,10222,59874,15632,10222,59874;62748,22414,15630
15533,9968,34145,19252;15533
35501;35501
7898,62792,7898;7898
1654,41895,14520,3544,1069,14520;14520
62820;62820
62841,16607,62841;16607,62841
62874;62874
11695,4161,11695;11695
62904,31070,62905,62906,62907,62908,62907,62908,62907,15997,62907,62906,29027,22458,62909,62910,29027,1595,29027;62907,62906,29027
4599,9997,20308,62926,2242,31256,62927,62928,40283,43291,39643,62929,44000,49197,62930;14408,4599
8107,4036,8107;8107
62943,62944,62945,62946,62947,62948,62946,62947,62946,55734,62949,62946,62950,62946,62947,62951,62948,62952,62946,62950,62948,62946,27500,62946,60423,62946,62953,55734,34065,43209;62946
16959,49160,2912,49160;49160
16841;16841
833,12226,4337,4335,14719,41795,4337,41795,4335,24072,24087,14719,41795,24072,24087,4335;4335
57457,37037;37037
29948,10671;29948,10671
63241,13109,63242;63241
27260,4084;27260
9992,1315,1316,63409,50689,9992,15219,1316,63410,16484,26720,1317,1316,26422,11716,4920,61564,39471,2072,9995,8367,18881,1317,1316,1317,15922,16482,1315,29868,1315,9995,1315,8476,16487,63411,48104,8476,63412,14122,1349,1315,1317,1312,1313,18881,3262,1317,1319,3262,1317,1312,8476,63408,11716,1882;1317,1315,8476
24981,63430,24981,29282,1809,381,3930,1807,1805,241,24981,2530,380,63431;63432
34217,3074,21102,3074;34217
17913,63508,33548,63509;63509
23557,5541,3606,3567,3605,3567,63569,4412,10847,37921,10847,16109,10847,31968,16083,1735,1736,16085,1735;31775,1736,10847
63573,53185,63574,11312,63575,4261,20697,63575,8761,53185,4261,53185,8761,20697;20697,4261
4538,14009,12794,7984,50456,7984;4538,7984
58309,63576,20667,24345,31062,30573,31065,63577,20992,63578,20992,33052,20991,21158,33052,20992;20992
63600;63600
16654,16649,40774,16654,40774,16654,18052,16654,16651,40773,40797,16654;40774
63635,63636,58239,63637,63638,63639,63635;63638,63635
12475,14737;12475
8629;8629
26884,63671,23984,26884,16031,30693,63672,9217,63672,58377,800,30693,800,3057,60041,5628,4363,3057,4363,553,60041,4363,3057;26884,4339,9217,800,30693
24139,9159,63688,63684,32139;24139
3393,9538;42908,3393,9538
55122,19726,9261,1334,36151,1334,9261,19726,1334,9261;9261
10878,63727,10878,63730,63728,63731,63727,63731,63732,63733,63731;63727,63731
22248;22248
20959,18550,42436;18550,20959
46917,28400,50046,17154,2480,8342,20877;20877
16695,2212;16695
7795,39349,7795,27802,7795,39349,63903,47511,63903;39349,7795
32081,35063,13655,58560,16546,63953,13655,35063,43222,58573,63954,47527,63955,60982,57118,63956,63957,63958,63956,60982,47533,47527,37017,14491;13655
19252,4794,22955,12018;12018
64025,350,41484,350,2487,15010,644,6522,15498,35171,20672,9578;64025
40157,40922;40922
64062,64063,64062,60883,64064,47520,62997,60883,64064,47520,60883,1595;64063,64062
50975,59812;50975
26415,4926,2564,1185,72,1185,1184,1185;1185
30281,6833,19086,6782,1332,6782,1332,9749,30281,5551,6782,1332,50688,64168,16534,43522,18448,13389,7373,13389,5665,32002,4841,12096,14635,2415;27635,6782,1332
53806,21599,64172,64173,53806,21599,53806,21599,64173,53806,64174,64175,44285,64176,21599,21598,64175,57013,423,424,64173,64175,21599,42530,64177,64178,36753,52518,64179,14383,64177,36753,44285,64180,64177,64180,64177,64181,64182,21599,58459,18207,64179,64177,64180,64179,64180,718,64177,718,24570,49386,64179;64179,64177
8623,64210;64210
29272,47059,64222,64223,64224,29272,64224,55155;64224
42246,2421,36033,21818,2421,64227,64228,22418,62706,64229,64230,64231,2421;42246,2421
64248,64249,64250,64251,64249,61295,64249,61295,64249,61295,64249,64252,64253,16683,64248,64254,45661,64254,45661,64254,64248,64255;64249,64253
9252,54252,23962,23218,64270,23962,64270,11339,23218,11339,64270,23962;23962
30071,8483,25581,1334;64302,64303,8483,59078,64304
16253,19211;16253
9889,32108;32108
64362,64363;64363
46351,64374,47713,46351,4448,47713,17664,47991;46351,47713
42750;42750
64394,2461,45039,36623,2461;2461
52591,52593,64449,52593,52591,64450,52593,52591,52593,52591,52593;52591
14281,1499;14281
64544;64544
2605,40347,3033,13741,3033,3026,64568;3033,3026
24272,2733,24272;24272
6291,7663;6291,7663
731,14287,5056,29083;731
1353,29301;29301
45329;45329
3017,21345,3017;3017
57007,12889,41107,32249,32248,46826,57007,46826,41107,46826,57007,5182,46826,29831,37720,29831,28040,39925,41107,46826,57007,3104,41107,32249,5182,3404,5182,3404,20029,64843,3547,15770,3005,57007,5182,46826,5182,29831,32249,30853,37720,5181,3104,57007,14938,3402,41107,43795,3547,41107,3547,41107,33488,39925,3547,41107;43795
33368,3088;1419,3088
22470;22470
1225;1225
9916,30651,12124,30651,12124,30652,9916,2256,6812,9916;9916
644,643,644,2481,27632,64830,61065,27629,65009;65009
23975,23976,25058,23975,65053,47057,65054,25058,23976,51002,25057,47057,65054,1349,47057,23976,51002,65054;65054
2373,35824,43766,6949,16354,14493,28937,30659,43766,28937,35824,16326,35824,28937;35824
46,5049,10029,5049,46,13804;5049,46
65169,65170,65171,65169,65170,65172,65169,25979,65173,65170,48307,65174,48307,65174,65170,65174;65174,65169
57884;57884
18277,2274,65230,65231,65230,18277;2274
19662,9620,28628,9620,51643;9620
5586,731,1307,5586,17782,5586,17782,1715,8812,5586;5586
20009;20009
20948;20948
7563,24334,7563;7563
20722;20722
8612,29773,8612,29773,8612,29773;29773
65324,65326,36108,65324,15311;65324
65423,65424,65425,65426;65423
44079,65432,44079,6566;65432
1012,1008,1012;1012
65463;65463
24537;24537
43572;43572
16602,65503,43318,21812,13817,43270,3784,43270,13817,3784,65504,3784,13817;13817,3784
977;977
14712,3285,14712,3285,14712,4770,30978,3107,3106,3107,2107,34323,26804,4069,26489,28282;14712
1869;1869
21701,8752,65552,21700,21701;8752
3445,65671,52247,65671,52247,65671,52384;3445
1334,54002,32471,30897,65672;26004
7;7
28553,28554,28553,13142,38389,18863,53783,2305,2307;28553
29901,29899;29899
9786,65747,25283,51355,25370,12986,65748,25370,65748,12986,25370,47004,12986,51355,35623,25370,12986,6604,51355,36298,9786,25283,25284,20856,23483,45441,23483,25284,13147,45437,13147,25284,45438,65749,25283,45438,51355;25283
13254,65786,59354,48171,37251,13252,14651,65787,16565,32163,16053,65788,65789,65790,65791,65792,57763,40136,65793,65794,54423,24932,17639,1708,40133;65795,16053
1844,162,72;72
